Transaction_ID,Timestamp,User_ID,UPI_ID,Bank_Name,UPI_App,Amount,Status,Decline_Type,Failure_Reason
TXN100096,01/06/26 5:05,USR_3833,usr_3833@okhdfc,HDFC,PhonePe,335.34,Success,NULL,None
TXN101364,01/06/26 5:10,USR_1975,usr_1975@okicici,ICICI,GPay,323.41,Success,NULL,None
TXN100163,01/06/26 5:11,USR_4038,usr_4038@oksbi,SBI,Paytm,65.69,Failure,BD,Insufficient Balance
TXN108898,01/06/26 5:11,USR_3672,usr_3672@okicici,ICICI,GPay,187.66,Success,NULL,None
TXN104083,01/06/26 5:12,USR_1582,usr_1582@oksbi,SBI,GPay,237.63,Failure,BD,Insufficient Balance
TXN101464,01/06/26 5:13,USR_4644,usr_4644@oksbi,SBI,PhonePe,455.07,Success,NULL,None
TXN113513,01/06/26 5:15,USR_4074,usr_4074@oksbi,SBI,GPay,337.16,Success,NULL,None
TXN112809,01/06/26 5:18,USR_4877,usr_4877@oksbi,SBI,Paytm,477.52,Success,NULL,None
TXN113883,01/06/26 5:20,USR_4080,usr_4080@oksbi,SBI,PhonePe,212.63,Success,NULL,None
TXN102546,01/06/26 5:21,USR_1179,usr_1179@oksbi,SBI,PhonePe,2964.33,Success,NULL,None
TXN100473,01/06/26 5:21,USR_2676,usr_2676@oksbi,SBI,PhonePe,363.8,Success,NULL,None
TXN105648,01/06/26 5:23,USR_2529,usr_2529@okhdfc,HDFC,PhonePe,205.25,Success,NULL,None
TXN103944,01/06/26 5:32,USR_1578,usr_1578@okhdfc,HDFC,PhonePe,193.21,Success,NULL,None
TXN106420,01/06/26 5:34,USR_4527,usr_4527@oksbi,SBI,GPay,1687.69,Success,NULL,None
TXN113468,01/06/26 5:37,USR_3113,usr_3113@okaxis,AXIS,PhonePe,444.24,Success,NULL,None
TXN105311,01/06/26 5:39,USR_2979,usr_2979@oksbi,SBI,Paytm,466.22,Success,NULL,None
TXN114043,01/06/26 5:43,USR_2771,usr_2771@okicici,ICICI,PhonePe,266.39,Success,NULL,None
TXN112638,01/06/26 5:46,USR_2641,usr_2641@okhdfc,HDFC,PhonePe,281.21,Success,NULL,None
TXN114688,01/06/26 5:48,USR_1701,usr_1701@okhdfc,HDFC,PhonePe,362.18,Success,NULL,None
TXN102343,01/06/26 5:51,USR_1744,usr_1744@okaxis,AXIS,GPay,4144.24,Success,NULL,None
TXN100551,01/06/26 5:52,USR_4945,usr_4945@oksbi,SBI,GPay,159.25,Success,NULL,None
TXN112653,01/06/26 5:55,USR_4986,usr_4986@oksbi,SBI,PhonePe,459.45,Success,NULL,None
TXN104193,01/06/26 5:57,USR_4266,usr_4266@okhdfc,HDFC,GPay,479.81,Success,NULL,None
TXN109792,01/06/26 5:59,USR_1666,usr_1666@okhdfc,HDFC,GPay,444.58,Success,NULL,None
TXN102052,01/06/26 6:03,USR_1781,usr_1781@oksbi,SBI,GPay,4225.8,Success,NULL,None
TXN101993,01/06/26 6:03,USR_4760,usr_4760@oksbi,SBI,PhonePe,622.65,Success,NULL,None
TXN111569,01/06/26 6:03,USR_4271,usr_4271@okhdfc,HDFC,GPay,314.37,Success,NULL,None
TXN102615,01/06/26 6:04,USR_2609,usr_2609@okhdfc,HDFC,PhonePe,2897.97,Success,NULL,None
TXN105167,01/06/26 6:04,USR_1871,usr_1871@okaxis,AXIS,Paytm,665.16,Success,NULL,None
TXN111547,01/06/26 6:05,USR_1083,usr_1083@okicici,ICICI,Paytm,236.63,Success,NULL,None
TXN101446,01/06/26 6:05,USR_2222,usr_2222@okhdfc,HDFC,Paytm,377.47,Failure,BD,Insufficient Balance
TXN111428,01/06/26 6:05,USR_2265,usr_2265@okicici,ICICI,PhonePe,455.21,Success,NULL,None
TXN114360,01/06/26 6:06,USR_4366,usr_4366@oksbi,SBI,GPay,280.85,Success,NULL,None
TXN112256,01/06/26 6:07,USR_1247,usr_1247@oksbi,SBI,GPay,113.1,Success,NULL,None
TXN104117,01/06/26 6:08,USR_1706,usr_1706@oksbi,SBI,PhonePe,398.56,Success,NULL,None
TXN104502,01/06/26 6:08,USR_3011,usr_3011@oksbi,SBI,Paytm,385.8,Failure,BD,Insufficient Balance
TXN104136,01/06/26 6:09,USR_3880,usr_3880@oksbi,SBI,GPay,11.78,Success,NULL,None
TXN105568,01/06/26 6:10,USR_4548,usr_4548@oksbi,SBI,PhonePe,91.26,Success,NULL,None
TXN104521,01/06/26 6:12,USR_3808,usr_3808@okhdfc,HDFC,PhonePe,349.03,Success,NULL,None
TXN109029,01/06/26 6:13,USR_3235,usr_3235@oksbi,SBI,PhonePe,37.4,Success,NULL,None
TXN113228,01/06/26 6:14,USR_3175,usr_3175@okicici,ICICI,Paytm,242.02,Success,NULL,None
TXN111265,01/06/26 6:16,USR_3165,usr_3165@okhdfc,HDFC,GPay,368.1,Success,NULL,None
TXN105604,01/06/26 6:18,USR_3762,usr_3762@okhdfc,HDFC,PhonePe,442.99,Success,NULL,None
TXN107812,01/06/26 6:21,USR_4869,usr_4869@okhdfc,HDFC,PhonePe,50.74,Success,NULL,None
TXN100576,01/06/26 6:24,USR_3279,usr_3279@okhdfc,HDFC,Paytm,88.86,Success,NULL,None
TXN102569,01/06/26 6:25,USR_3491,usr_3491@oksbi,SBI,PhonePe,463.42,Failure,TD,Bank Server Timeout
TXN102057,01/06/26 6:25,USR_1152,usr_1152@oksbi,SBI,GPay,416.92,Success,NULL,None
TXN110681,01/06/26 6:27,USR_3263,usr_3263@okicici,ICICI,PhonePe,704.29,Success,NULL,None
TXN112590,01/06/26 6:27,USR_2536,usr_2536@okicici,ICICI,PhonePe,258.84,Success,NULL,None
TXN113898,01/06/26 6:28,USR_4150,usr_4150@okaxis,AXIS,Paytm,959.79,Success,NULL,None
TXN108118,01/06/26 6:28,USR_2274,usr_2274@okicici,ICICI,GPay,200.63,Success,NULL,None
TXN109263,01/06/26 6:32,USR_1047,usr_1047@okhdfc,HDFC,PhonePe,78.96,Success,NULL,None
TXN102284,01/06/26 6:33,USR_1949,usr_1949@oksbi,SBI,Paytm,861.48,Failure,TD,Bank Server Timeout
TXN110737,01/06/26 6:35,USR_1132,usr_1132@oksbi,SBI,GPay,2345.49,Success,NULL,None
TXN108336,01/06/26 6:35,USR_1279,usr_1279@oksbi,SBI,GPay,11.4,Success,NULL,None
TXN106822,01/06/26 6:35,USR_4240,usr_4240@okaxis,AXIS,GPay,308.76,Success,NULL,None
TXN114234,01/06/26 6:37,USR_2944,usr_2944@okhdfc,HDFC,PhonePe,345.58,Success,NULL,None
TXN106380,01/06/26 6:37,USR_1225,usr_1225@okaxis,AXIS,Paytm,1901.41,Success,NULL,None
TXN102041,01/06/26 6:37,USR_4680,usr_4680@oksbi,SBI,GPay,1096.38,Success,NULL,None
TXN110144,01/06/26 6:38,USR_2518,usr_2518@oksbi,SBI,PhonePe,156.09,Success,NULL,None
TXN103293,01/06/26 6:39,USR_3541,usr_3541@okhdfc,HDFC,PhonePe,458.53,Success,NULL,None
TXN109805,01/06/26 6:40,USR_4386,usr_4386@okicici,ICICI,PhonePe,1495.51,Success,NULL,None
TXN107401,01/06/26 6:41,USR_1378,usr_1378@oksbi,SBI,GPay,325.79,Success,NULL,None
TXN104835,01/06/26 6:42,USR_1159,usr_1159@okhdfc,HDFC,GPay,1539.61,Success,NULL,None
TXN105000,01/06/26 6:45,USR_4289,usr_4289@okhdfc,HDFC,GPay,97.36,Success,NULL,None
TXN113255,01/06/26 6:45,USR_4775,usr_4775@okhdfc,HDFC,PhonePe,2043.9,Success,NULL,None
TXN101332,01/06/26 6:47,USR_1890,usr_1890@okhdfc,HDFC,PhonePe,4787.4,Success,NULL,None
TXN103985,01/06/26 6:48,USR_4509,usr_4509@okhdfc,HDFC,PhonePe,3761,Success,NULL,None
TXN113382,01/06/26 6:48,USR_1713,usr_1713@oksbi,SBI,PhonePe,3649.79,Failure,BD,Insufficient Balance
TXN100347,01/06/26 6:49,USR_2009,usr_2009@oksbi,SBI,PhonePe,623.97,Success,NULL,None
TXN103512,01/06/26 6:50,USR_4002,usr_4002@okhdfc,HDFC,PhonePe,174.41,Success,NULL,None
TXN111585,01/06/26 6:50,USR_4039,usr_4039@okicici,ICICI,PhonePe,43.98,Success,NULL,None
TXN108020,01/06/26 6:51,USR_4520,usr_4520@okhdfc,HDFC,GPay,492.39,Success,NULL,None
TXN106184,01/06/26 6:52,USR_4675,usr_4675@okaxis,AXIS,Paytm,2740.8,Success,NULL,None
TXN101486,01/06/26 6:53,USR_1420,usr_1420@okhdfc,HDFC,GPay,33.44,Failure,BD,Incorrect PIN
TXN106718,01/06/26 6:55,USR_3472,usr_3472@oksbi,SBI,PhonePe,58.69,Success,NULL,None
TXN103805,01/06/26 6:55,USR_1998,usr_1998@oksbi,SBI,PhonePe,193.9,Success,NULL,None
TXN111693,01/06/26 6:59,USR_3333,usr_3333@oksbi,SBI,PhonePe,101.39,Failure,BD,Insufficient Balance
TXN111759,01/06/26 6:59,USR_2141,usr_2141@oksbi,SBI,PhonePe,247.44,Success,NULL,None
TXN102084,01/06/26 7:00,USR_4533,usr_4533@okhdfc,HDFC,GPay,23.84,Success,NULL,None
TXN112334,01/06/26 7:01,USR_4823,usr_4823@oksbi,SBI,GPay,186,Success,NULL,None
TXN113516,01/06/26 7:03,USR_2744,usr_2744@oksbi,SBI,Paytm,239.06,Success,NULL,None
TXN102168,01/06/26 7:04,USR_2087,usr_2087@okhdfc,HDFC,GPay,1680.73,Success,NULL,None
TXN113328,01/06/26 7:04,USR_1501,usr_1501@okhdfc,HDFC,GPay,469.35,Success,NULL,None
TXN113425,01/06/26 7:04,USR_1744,usr_1744@okhdfc,HDFC,PhonePe,443.86,Success,NULL,None
TXN113592,01/06/26 7:06,USR_3795,usr_3795@okhdfc,HDFC,Paytm,247.26,Success,NULL,None
TXN102090,01/06/26 7:06,USR_4032,usr_4032@oksbi,SBI,PhonePe,3816.01,Failure,BD,Insufficient Balance
TXN101173,01/06/26 7:07,USR_1535,usr_1535@okhdfc,HDFC,GPay,788.33,Success,NULL,None
TXN104829,01/06/26 7:07,USR_1846,usr_1846@okhdfc,HDFC,GPay,1473.81,Success,NULL,None
TXN104682,01/06/26 7:09,USR_4329,usr_4329@oksbi,SBI,GPay,383.58,Success,NULL,None
TXN102100,01/06/26 7:09,USR_3088,usr_3088@okicici,ICICI,GPay,382.65,Success,NULL,None
TXN101907,01/06/26 7:10,USR_3289,usr_3289@oksbi,SBI,GPay,448.96,Success,NULL,None
TXN109704,01/06/26 7:10,USR_1654,usr_1654@okhdfc,HDFC,PhonePe,222.18,Success,NULL,None
TXN107977,01/06/26 7:11,USR_3012,usr_3012@okicici,ICICI,GPay,1155.69,Success,NULL,None
TXN104668,01/06/26 7:11,USR_2384,usr_2384@okhdfc,HDFC,PhonePe,379.73,Success,NULL,None
TXN109854,01/06/26 7:11,USR_4222,usr_4222@okhdfc,HDFC,GPay,1797.84,Success,NULL,None
TXN113002,01/06/26 7:14,USR_3979,usr_3979@oksbi,SBI,GPay,1229.22,Success,NULL,None
TXN110999,01/06/26 7:14,USR_1696,usr_1696@okhdfc,HDFC,PhonePe,183.93,Success,NULL,None
TXN100114,01/06/26 7:14,USR_3356,usr_3356@okhdfc,HDFC,PhonePe,20.17,Success,NULL,None
TXN106122,01/06/26 7:16,USR_3333,usr_3333@oksbi,SBI,GPay,84.01,Failure,BD,Insufficient Balance
TXN112748,01/06/26 7:17,USR_4149,usr_4149@oksbi,SBI,GPay,319.49,Success,NULL,None
TXN107679,01/06/26 7:17,USR_3530,usr_3530@okicici,ICICI,PhonePe,276.34,Success,NULL,None
TXN103975,01/06/26 7:18,USR_4241,usr_4241@okaxis,AXIS,GPay,2546.6,Failure,BD,Insufficient Balance
TXN113081,01/06/26 7:20,USR_4298,usr_4298@okhdfc,HDFC,PhonePe,133.26,Success,NULL,None
TXN103119,01/06/26 7:21,USR_2541,usr_2541@okicici,ICICI,PhonePe,1459.6,Success,NULL,None
TXN109799,01/06/26 7:23,USR_4211,usr_4211@okhdfc,HDFC,PhonePe,224.6,Success,NULL,None
TXN108013,01/06/26 7:23,USR_2736,usr_2736@oksbi,SBI,PhonePe,40.88,Success,NULL,None
TXN107696,01/06/26 7:24,USR_1243,usr_1243@okhdfc,HDFC,PhonePe,1541.38,Success,NULL,None
TXN113312,01/06/26 7:25,USR_4154,usr_4154@okicici,ICICI,PhonePe,24.77,Success,NULL,None
TXN103148,01/06/26 7:25,USR_4633,usr_4633@oksbi,SBI,GPay,1832.37,Success,NULL,None
TXN111651,01/06/26 7:26,USR_2613,usr_2613@oksbi,SBI,PhonePe,127.46,Success,NULL,None
TXN103373,01/06/26 7:26,USR_3866,usr_3866@okhdfc,HDFC,GPay,4864.87,Success,NULL,None
TXN106632,01/06/26 7:27,USR_4129,usr_4129@oksbi,SBI,PhonePe,167.25,Success,NULL,None
TXN113415,01/06/26 7:27,USR_3654,usr_3654@okaxis,AXIS,Paytm,195.59,Success,NULL,None
TXN104825,01/06/26 7:27,USR_2333,usr_2333@okaxis,AXIS,GPay,1254.36,Success,NULL,None
TXN110593,01/06/26 7:27,USR_2258,usr_2258@oksbi,SBI,PhonePe,372.8,Success,NULL,None
TXN112840,01/06/26 7:28,USR_1111,usr_1111@okhdfc,HDFC,GPay,276.61,Failure,BD,Insufficient Balance
TXN101096,01/06/26 7:28,USR_1021,usr_1021@okhdfc,HDFC,PhonePe,491.65,Success,NULL,None
TXN106083,01/06/26 7:29,USR_1282,usr_1282@okhdfc,HDFC,GPay,390.04,Success,NULL,None
TXN113345,01/06/26 7:30,USR_1254,usr_1254@okhdfc,HDFC,PhonePe,17.68,Success,NULL,None
TXN108146,01/06/26 7:32,USR_1342,usr_1342@okhdfc,HDFC,PhonePe,1735.63,Success,NULL,None
TXN114230,01/06/26 7:32,USR_1941,usr_1941@oksbi,SBI,GPay,104.8,Success,NULL,None
TXN111123,01/06/26 7:35,USR_1001,usr_1001@okicici,ICICI,PhonePe,1313.78,Success,NULL,None
TXN106038,01/06/26 7:38,USR_1670,usr_1670@oksbi,SBI,PhonePe,134.03,Success,NULL,None
TXN112354,01/06/26 7:39,USR_1135,usr_1135@okicici,ICICI,PhonePe,426.35,Success,NULL,None
TXN103094,01/06/26 7:40,USR_4924,usr_4924@okhdfc,HDFC,Paytm,119.49,Success,NULL,None
TXN108966,01/06/26 7:40,USR_1281,usr_1281@oksbi,SBI,PhonePe,238.51,Success,NULL,None
TXN106021,01/06/26 7:40,USR_2970,usr_2970@okaxis,AXIS,Paytm,3453.09,Success,NULL,None
TXN105744,01/06/26 7:41,USR_1594,usr_1594@okhdfc,HDFC,PhonePe,678.06,Success,NULL,None
TXN102588,01/06/26 7:41,USR_4468,usr_4468@okhdfc,HDFC,PhonePe,394.18,Success,NULL,None
TXN109251,01/06/26 7:41,USR_2626,usr_2626@oksbi,SBI,PhonePe,371.77,Success,NULL,None
TXN106082,01/06/26 7:42,USR_1074,usr_1074@oksbi,SBI,PhonePe,139.3,Success,NULL,None
TXN100684,01/06/26 7:44,USR_4094,usr_4094@okhdfc,HDFC,PhonePe,14.47,Success,NULL,None
TXN109429,01/06/26 7:46,USR_3308,usr_3308@okaxis,AXIS,PhonePe,1022.26,Success,NULL,None
TXN111784,01/06/26 7:46,USR_2944,usr_2944@okhdfc,HDFC,GPay,287.16,Failure,BD,Insufficient Balance
TXN104574,01/06/26 7:47,USR_4451,usr_4451@okhdfc,HDFC,PhonePe,484.9,Success,NULL,None
TXN112387,01/06/26 7:47,USR_4230,usr_4230@oksbi,SBI,GPay,1781.08,Success,NULL,None
TXN113581,01/06/26 7:48,USR_3717,usr_3717@oksbi,SBI,GPay,1468.87,Success,NULL,None
TXN101240,01/06/26 7:48,USR_3437,usr_3437@okhdfc,HDFC,GPay,280.9,Success,NULL,None
TXN110474,01/06/26 7:49,USR_2678,usr_2678@oksbi,SBI,PhonePe,81.44,Success,NULL,None
TXN109010,01/06/26 7:51,USR_2538,usr_2538@okaxis,AXIS,PhonePe,1084.29,Success,NULL,None
TXN107706,01/06/26 7:51,USR_2195,usr_2195@okhdfc,HDFC,PhonePe,395.9,Success,NULL,None
TXN113270,01/06/26 7:51,USR_4345,usr_4345@oksbi,SBI,PhonePe,1190.07,Success,NULL,None
TXN103990,01/06/26 7:51,USR_3091,usr_3091@oksbi,SBI,PhonePe,1106.61,Success,NULL,None
TXN101012,01/06/26 7:52,USR_3073,usr_3073@oksbi,SBI,GPay,216.23,Success,NULL,None
TXN101514,01/06/26 7:52,USR_2366,usr_2366@oksbi,SBI,PhonePe,1662.01,Success,NULL,None
TXN109949,01/06/26 7:52,USR_2145,usr_2145@oksbi,SBI,PhonePe,157.12,Success,NULL,None
TXN108806,01/06/26 7:52,USR_1452,usr_1452@oksbi,SBI,PhonePe,4804.98,Success,NULL,None
TXN110381,01/06/26 7:52,USR_1008,usr_1008@okhdfc,HDFC,Paytm,2292.51,Success,NULL,None
TXN108314,01/06/26 7:53,USR_1640,usr_1640@oksbi,SBI,GPay,805.84,Success,NULL,None
TXN105451,01/06/26 7:53,USR_4502,usr_4502@okicici,ICICI,GPay,1203.69,Failure,BD,Incorrect PIN
TXN111082,01/06/26 7:54,USR_4501,usr_4501@oksbi,SBI,PhonePe,345.75,Success,NULL,None
TXN112164,01/06/26 7:54,USR_2665,usr_2665@oksbi,SBI,PhonePe,187.25,Success,NULL,None
TXN111440,01/06/26 7:55,USR_2978,usr_2978@oksbi,SBI,PhonePe,1073.74,Success,NULL,None
TXN109430,01/06/26 7:55,USR_3981,usr_3981@okicici,ICICI,GPay,1072.33,Success,NULL,None
TXN104181,01/06/26 7:57,USR_4826,usr_4826@okhdfc,HDFC,Paytm,145.84,Success,NULL,None
TXN104382,01/06/26 7:58,USR_2683,usr_2683@oksbi,SBI,PhonePe,133.22,Success,NULL,None
TXN100849,01/06/26 7:58,USR_4916,usr_4916@okhdfc,HDFC,GPay,1416.12,Success,NULL,None
TXN114040,01/06/26 8:00,USR_4928,usr_4928@okaxis,AXIS,GPay,403.28,Success,NULL,None
TXN100861,01/06/26 8:02,USR_3980,usr_3980@okaxis,AXIS,PhonePe,228.48,Success,NULL,None
TXN100779,01/06/26 8:03,USR_1730,usr_1730@okhdfc,HDFC,PhonePe,149.35,Success,NULL,None
TXN101086,01/06/26 8:05,USR_4163,usr_4163@okhdfc,HDFC,GPay,40.12,Success,NULL,None
